*******************************************************************************
Ephemeris / WWW_USER Wed Feb 24 01:44:04 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 3552 Don Quixote (1983 SA)      {source: JPL#129}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1983-Sep-01 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Mar-20 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-BIG16}
Output units    : KM-S                                                         
Output format   : 02
Reference frame : ICRF/J2000.0                                                 
Output type     : GEOMETRIC cartesian states
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454981.5 ! 2009-May-30.00 (TDB)         Residual RMS= .36171        
   EC= .7138591939946456   QR= 1.208904750718783   TP= 2455083.114208498       
   OM= 350.2678783992935   W=  317.1118412185904   IN= 30.96837943826426       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 9.5                ROTPER= 7.7                 
   H= 12.9                 G= .150                 B-V= n.a.                   
                           ALBEDO= .030            STYP= D                     
*******************************************************************************
JDTDB,   , X, Y, Z, VX, VY, VZ,
*******************************************************************************
$$SOE
2445659.500000000, A.D. 1983-Nov-21 00:00:00.0000,  2.415883118624384E+08,  6.966878337799300E+07,  1.292639385556442E+08,  9.103652158192899E-01,  1.583973537876922E+01,  2.184527980372757E+01,
2445660.500000000, A.D. 1983-Nov-22 00:00:00.0000,  2.416616945296041E+08,  7.103580636771667E+07,  1.311485360750822E+08,  7.885739974794038E-01,  1.580427981966568E+01,  2.177965130794488E+01,
2445661.500000000, A.D. 1983-Nov-23 00:00:00.0000,  2.417246231676283E+08,  7.239975696867673E+07,  1.330274605105401E+08,  6.683702304793153E-01,  1.576861722869702E+01,  2.171396060415126E+01,
2445662.500000000, A.D. 1983-Nov-24 00:00:00.0000,  2.417772340095797E+08,  7.376061779599932E+07,  1.349007070475551E+08,  5.497325859826482E-01,  1.573275917975816E+01,  2.164822058147675E+01,
2445663.500000000, A.D. 1983-Nov-25 00:00:00.0000,  2.418196614537349E+08,  7.511837244882016E+07,  1.367682719645063E+08,  4.326399218206811E-01,  1.569671687865095E+01,  2.158244365052795E+01,
2445664.500000000, A.D. 1983-Nov-26 00:00:00.0000,  2.418520380799646E+08,  7.647300547891828E+07,  1.386301525919055E+08,  3.170712883617104E-01,  1.566050117316501E+01,  2.151664175803904E+01,
2445665.500000000, A.D. 1983-Nov-27 00:00:00.0000,  2.418744946666022E+08,  7.782450236021186E+07,  1.404863472729393E+08,  2.030059338228105E-01,  1.562412256295275E+01,  2.145082640116350E+01,
2445666.500000000, A.D. 1983-Nov-28 00:00:00.0000,  2.418871602077479E+08,  7.917284945909831E+07,  1.423368553252288E+08,  9.042330905459142E-02,  1.558759120919737E+01,  2.138500864140890E+01,
2445667.500000000, A.D. 1983-Nov-29 00:00:00.0000,  2.418901619309656E+08,  8.051803400562066E+07,  1.441816770037802E+08, -2.069692817158668E-02,  1.555091694407268E+01,  2.131919911821774E+01,
2445668.500000000, A.D. 1983-Nov-30 00:00:00.0000,  2.418836253153286E+08,  8.186004406544246E+07,  1.460208134650914E+08, -1.303749093455467E-01,  1.551410927999471E+01,  2.125340806219758E+01,
2445669.500000000, A.D. 1983-Dec-01 00:00:00.0000,  2.418676741097762E+08,  8.319886851261267E+07,  1.478542667323886E+08, -2.386305518423575E-01,  1.547717741866464E+01,  2.118764530800442E+01,
2445670.500000000, A.D. 1983-Dec-02 00:00:00.0000,  2.418424303517446E+08,  8.453449700310321E+07,  1.496820396619594E+08, -3.454835559622685E-01,  1.544013025990425E+01,  2.112192030688353E+01,
2445671.500000000, A.D. 1983-Dec-03 00:00:00.0000,  2.418080143860353E+08,  8.586691994910079E+07,  1.515041359105565E+08, -4.509534023615688E-01,  1.540297641028453E+01,  2.105624213887249E+01,
2445672.500000000, A.D. 1983-Dec-04 00:00:00.0000,  2.417645448838903E+08,  8.719612849403536E+07,  1.533205599038401E+08, -5.550593498502532E-01,  1.536572419154895E+01,  2.099061952467136E+01,
